factory_id,fingerprint_name,shap_value,direction
site_1257,corr_ETP-COD_ETP-Flow,0.0082,RISK_INCREASE
site_1257,corr_ETP-COD_ETP-TSS,0.1723,RISK_INCREASE
site_1257,corr_ETP-COD_ETP-pH,-0.4153,RISK_DECREASE
site_1257,corr_ETP-Flow_ETP-TSS,0.0011,RISK_INCREASE
site_1257,corr_ETP-TSS_ETP-pH,0.0102,RISK_INCREASE
site_1257,autocorrelation,0.0068,RISK_INCREASE
site_1257,missing_rate,0.0,NEUTRAL
site_1257,limit_hugging,-0.2718,RISK_DECREASE
site_1257,bdl_rate,0.0191,RISK_INCREASE
site_1257,duplicate_run_length,-0.3163,RISK_DECREASE
site_1257,cov_severity,0.0,NEUTRAL
site_1257,bod_cod_ratio,-0.027,RISK_DECREASE
site_1257,bod_cod_ratio_volatility,-0.0246,RISK_DECREASE
site_1257,pre_inspection_dip_score,-0.3779,RISK_DECREASE
site_1257,coordinated_missing_flag,-3.8064,RISK_DECREASE
site_1259,value,1.7008,RISK_INCREASE
site_1259,rolling_mean,1.4921,RISK_INCREASE
site_1259,rolling_std,-0.4529,RISK_DECREASE
site_1259,rolling_cov,0.1703,RISK_INCREASE
site_1259,flatline_flag,-0.4589,RISK_DECREASE
site_1259,corr_ETP-Flow_ETP-pH,-0.9707,RISK_DECREASE
site_1259,corr_ETP-BOD_ETP-COD,-0.7971,RISK_DECREASE
site_1259,corr_ETP-BOD_ETP-Flow,0.0031,RISK_INCREASE
site_1259,corr_ETP-BOD_ETP-TSS,0.5848,RISK_INCREASE
site_1259,corr_ETP-BOD_ETP-pH,-0.1171,RISK_DECREASE
site_1259,corr_ETP-COD_ETP-Flow,0.011,RISK_INCREASE
site_1259,corr_ETP-COD_ETP-TSS,0.3606,RISK_INCREASE
site_1259,corr_ETP-COD_ETP-pH,-0.3492,RISK_DECREASE
site_1259,corr_ETP-Flow_ETP-TSS,0.0012,RISK_INCREASE
site_1259,corr_ETP-TSS_ETP-pH,0.0097,RISK_INCREASE
site_1259,autocorrelation,0.0834,RISK_INCREASE
site_1259,missing_rate,0.0,NEUTRAL
site_1259,limit_hugging,-0.1868,RISK_DECREASE
site_1259,bdl_rate,0.1179,RISK_INCREASE
site_1259,duplicate_run_length,0.063,RISK_INCREASE
site_1259,cov_severity,0.0,NEUTRAL
site_1259,bod_cod_ratio,-0.0209,RISK_DECREASE
site_1259,bod_cod_ratio_volatility,-0.0236,RISK_DECREASE
site_1259,pre_inspection_dip_score,0.1042,RISK_INCREASE
site_1259,coordinated_missing_flag,-2.8148,RISK_DECREASE
site_1264,value,1.1012,RISK_INCREASE
site_1264,rolling_mean,0.3267,RISK_INCREASE
site_1264,rolling_std,-0.2138,RISK_DECREASE
site_1264,rolling_cov,1.2413,RISK_INCREASE
site_1264,flatline_flag,0.2891,RISK_INCREASE
site_1264,corr_ETP-Flow_ETP-pH,-0.186,RISK_DECREASE
site_1264,corr_ETP-BOD_ETP-COD,-0.2628,RISK_DECREASE
site_1264,corr_ETP-BOD_ETP-Flow,-0.0008,RISK_DECREASE
site_1264,corr_ETP-BOD_ETP-TSS,0.2727,RISK_INCREASE
site_1264,corr_ETP-BOD_ETP-pH,-0.1096,RISK_DECREASE
site_1264,corr_ETP-COD_ETP-Flow,0.0096,RISK_INCREASE
site_1264,corr_ETP-COD_ETP-TSS,0.1178,RISK_INCREASE
site_1264,corr_ETP-COD_ETP-pH,-0.3009,RISK_DECREASE
site_1264,corr_ETP-Flow_ETP-TSS,0.0008,RISK_INCREASE
site_1264,corr_ETP-TSS_ETP-pH,0.0088,RISK_INCREASE
site_1264,autocorrelation,-0.0015,RISK_DECREASE
site_1264,missing_rate,0.0,NEUTRAL
site_1264,limit_hugging,-0.0734,RISK_DECREASE
site_1264,bdl_rate,0.0446,RISK_INCREASE
site_1264,duplicate_run_length,0.4418,RISK_INCREASE
site_1264,cov_severity,0.0,NEUTRAL
site_1264,bod_cod_ratio,-0.0111,RISK_DECREASE
site_1264,bod_cod_ratio_volatility,-0.0199,RISK_DECREASE
site_1264,pre_inspection_dip_score,0.0605,RISK_INCREASE
site_1264,coordinated_missing_flag,12.1778,RISK_INCREASE
site_1280,value,-9.3857,RISK_DECREASE
site_1280,rolling_mean,-9.6112,RISK_DECREASE
site_1280,rolling_std,-0.1767,RISK_DECREASE
site_1280,rolling_cov,-1.3572,RISK_DECREASE
site_1280,flatline_flag,-4.1415,RISK_DECREASE
site_1280,corr_ETP-Flow_ETP-pH,-0.6002,RISK_DECREASE
site_1280,corr_ETP-BOD_ETP-COD,-0.7892,RISK_DECREASE
site_1280,corr_ETP-BOD_ETP-Flow,0.0011,RISK_INCREASE
site_1280,corr_ETP-BOD_ETP-TSS,0.3029,RISK_INCREASE
site_1280,corr_ETP-BOD_ETP-pH,-0.1576,RISK_DECREASE
site_1280,corr_ETP-COD_ETP-Flow,0.0087,RISK_INCREASE
site_1280,corr_ETP-COD_ETP-TSS,0.0706,RISK_INCREASE
site_1280,corr_ETP-COD_ETP-pH,-0.4392,RISK_DECREASE
site_1280,corr_ETP-Flow_ETP-TSS,0.0009,RISK_INCREASE
site_1280,corr_ETP-TSS_ETP-pH,0.0099,RISK_INCREASE
site_1280,autocorrelation,0.2483,RISK_INCREASE
site_1280,missing_rate,0.0,NEUTRAL
site_1280,limit_hugging,-0.1659,RISK_DECREASE
site_1280,bdl_rate,0.0137,RISK_INCREASE
site_1280,duplicate_run_length,-0.6435,RISK_DECREASE
site_1280,cov_severity,0.0,NEUTRAL
site_1280,bod_cod_ratio,-0.0278,RISK_DECREASE
site_1280,bod_cod_ratio_volatility,-0.0202,RISK_DECREASE
site_1280,pre_inspection_dip_score,0.066,RISK_INCREASE
site_1280,coordinated_missing_flag,-4.4837,RISK_DECREASE
site_1281,value,1.292,RISK_INCREASE
site_1281,rolling_mean,0.6039,RISK_INCREASE
site_1281,rolling_std,0.2179,RISK_INCREASE
site_1281,rolling_cov,-0.0478,RISK_DECREASE
site_1281,flatline_flag,-0.133,RISK_DECREASE
site_1281,corr_ETP-Flow_ETP-pH,0.5179,RISK_INCREASE
site_1281,corr_ETP-BOD_ETP-COD,-0.7508,RISK_DECREASE
site_1281,corr_ETP-BOD_ETP-Flow,0.002,RISK_INCREASE
site_1281,corr_ETP-BOD_ETP-TSS,0.6183,RISK_INCREASE
site_1281,corr_ETP-BOD_ETP-pH,-0.13,RISK_DECREASE
site_1281,corr_ETP-COD_ETP-Flow,0.0091,RISK_INCREASE
site_1281,corr_ETP-COD_ETP-TSS,0.3774,RISK_INCREASE
site_1281,corr_ETP-COD_ETP-pH,-0.3634,RISK_DECREASE
site_1281,corr_ETP-Flow_ETP-TSS,0.0012,RISK_INCREASE
site_1281,corr_ETP-TSS_ETP-pH,0.0104,RISK_INCREASE
site_1281,autocorrelation,-0.5039,RISK_DECREASE
site_1281,missing_rate,0.0,NEUTRAL
site_1281,limit_hugging,-0.0408,RISK_DECREASE
site_1281,bdl_rate,0.0879,RISK_INCREASE
site_1281,duplicate_run_length,0.4126,RISK_INCREASE
site_1281,cov_severity,0.0,NEUTRAL
site_1281,bod_cod_ratio,-0.0088,RISK_DECREASE
site_1281,bod_cod_ratio_volatility,-0.03,RISK_DECREASE
site_1281,pre_inspection_dip_score,-0.0824,RISK_DECREASE
site_1281,coordinated_missing_flag,-2.5634,RISK_DECREASE
site_1284,value,1.2823,RISK_INCREASE
site_1284,rolling_mean,0.5496,RISK_INCREASE
site_1284,rolling_std,-0.2559,RISK_DECREASE
site_1284,rolling_cov,0.1315,RISK_INCREASE
site_1284,flatline_flag,0.0101,RISK_INCREASE
site_1284,corr_ETP-Flow_ETP-pH,-0.9344,RISK_DECREASE
site_1284,corr_ETP-BOD_ETP-COD,-0.8475,RISK_DECREASE
site_1284,corr_ETP-BOD_ETP-Flow,0.0025,RISK_INCREASE
site_1284,corr_ETP-BOD_ETP-TSS,0.5174,RISK_INCREASE
site_1284,corr_ETP-BOD_ETP-pH,-0.1275,RISK_DECREASE
site_1284,corr_ETP-COD_ETP-Flow,0.0091,RISK_INCREASE
site_1284,corr_ETP-COD_ETP-TSS,0.3304,RISK_INCREASE
site_1284,corr_ETP-COD_ETP-pH,-0.382,RISK_DECREASE
site_1284,corr_ETP-Flow_ETP-TSS,0.0013,RISK_INCREASE
site_1284,corr_ETP-TSS_ETP-pH,0.0097,RISK_INCREASE
site_1284,autocorrelation,-0.4021,RISK_DECREASE
site_1284,missing_rate,0.0,NEUTRAL
site_1284,limit_hugging,-0.019,RISK_DECREASE
site_1284,bdl_rate,0.0568,RISK_INCREASE
site_1284,duplicate_run_length,-0.9655,RISK_DECREASE
site_1284,cov_severity,0.0,NEUTRAL
site_1284,bod_cod_ratio,-0.0178,RISK_DECREASE
site_1284,bod_cod_ratio_volatility,-0.0212,RISK_DECREASE
site_1284,pre_inspection_dip_score,-0.0551,RISK_DECREASE
site_1284,coordinated_missing_flag,-2.9701,RISK_DECREASE
site_1285,value,2.2776,RISK_INCREASE
site_1285,rolling_mean,0.491,RISK_INCREASE
site_1285,rolling_std,-0.1013,RISK_DECREASE
site_1285,rolling_cov,0.2665,RISK_INCREASE
site_1285,flatline_flag,0.493,RISK_INCREASE
site_1285,corr_ETP-Flow_ETP-pH,-0.4091,RISK_DECREASE
site_1285,corr_ETP-BOD_ETP-COD,-0.75,RISK_DECREASE
site_1285,corr_ETP-BOD_ETP-Flow,0.0029,RISK_INCREASE
site_1285,corr_ETP-BOD_ETP-TSS,0.6699,RISK_INCREASE
site_1285,corr_ETP-BOD_ETP-pH,-0.1238,RISK_DECREASE
site_1285,corr_ETP-COD_ETP-Flow,0.0102,RISK_INCREASE
site_1285,corr_ETP-COD_ETP-TSS,0.3927,RISK_INCREASE
site_1285,corr_ETP-COD_ETP-pH,-0.3431,RISK_DECREASE
site_1285,corr_ETP-Flow_ETP-TSS,0.0013,RISK_INCREASE
site_1285,corr_ETP-TSS_ETP-pH,0.0103,RISK_INCREASE
site_1285,autocorrelation,-0.1509,RISK_DECREASE
site_1285,missing_rate,0.0,NEUTRAL
site_1285,limit_hugging,-0.2146,RISK_DECREASE
site_1285,bdl_rate,0.0874,RISK_INCREASE
site_1285,duplicate_run_length,1.0472,RISK_INCREASE
site_1285,cov_severity,0.0,NEUTRAL
site_1285,bod_cod_ratio,-0.0106,RISK_DECREASE
site_1285,bod_cod_ratio_volatility,-0.0256,RISK_DECREASE
site_1285,pre_inspection_dip_score,0.0683,RISK_INCREASE
site_1285,coordinated_missing_flag,-2.597,RISK_DECREASE
site_1310,value,-6.5169,RISK_DECREASE
site_1310,rolling_mean,-9.8332,RISK_DECREASE
site_1310,rolling_std,-0.1448,RISK_DECREASE
site_1310,rolling_cov,-1.4027,RISK_DECREASE
site_1310,flatline_flag,-6.9402,RISK_DECREASE
site_1310,corr_ETP-Flow_ETP-pH,-0.6932,RISK_DECREASE
site_1310,corr_ETP-BOD_ETP-COD,-0.8005,RISK_DECREASE
site_1310,corr_ETP-BOD_ETP-Flow,0.0,RISK_INCREASE
site_1310,corr_ETP-BOD_ETP-TSS,0.4528,RISK_INCREASE
site_1310,corr_ETP-BOD_ETP-pH,-0.1534,RISK_DECREASE
site_1310,corr_ETP-COD_ETP-Flow,0.0088,RISK_INCREASE
site_1310,corr_ETP-COD_ETP-TSS,0.1538,RISK_INCREASE
site_1310,corr_ETP-COD_ETP-pH,-0.4561,RISK_DECREASE
site_1310,corr_ETP-Flow_ETP-TSS,0.001,RISK_INCREASE
